id,title,description,category,sub_category,gender,primary_color,colours,price,currency,brand,primary_image_url,image_urls_list,metadata
108775015,Strap top | Vest top | Solid,Jersey top with narrow shoulder straps.,Jersey Basic > Ladieswear > Garment Upper body,Vest top > Jersey Basic > Womens Everyday Basics,women,Black,"['Black', 'Dark']",3324,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/010/0108775015.jpg,[],"{""article_id"": 108775015, ""product_type_name"": ""Vest top"", ""product_group_name"": ""Garment Upper body"", ""graphical_appearance_name"": ""Solid"", ""colour_group_name"": ""Black"", ""perceived_colour_value_name"": ""Dark"", ""perceived_colour_master_name"": ""Black"", ""department_name"": ""Jersey Basic"", ""index_name"": ""Ladieswear"", ""index_group_name"": ""Ladieswear"", ""section_name"": ""Womens Everyday Basics"", ""garment_group_name"": ""Jersey Basic"", ""price_in_source"": 3324, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
108775044,Strap top | Vest top | Solid,Jersey top with narrow shoulder straps.,Jersey Basic > Ladieswear > Garment Upper body,Vest top > Jersey Basic > Womens Everyday Basics,women,White,"['White', 'Light']",1909,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/010/0108775044.jpg,[],"{""article_id"": 108775044, ""product_type_name"": ""Vest top"", ""product_group_name"": ""Garment Upper body"", ""graphical_appearance_name"": ""Solid"", ""colour_group_name"": ""White"", ""perceived_colour_value_name"": ""Light"", ""perceived_colour_master_name"": ""White"", ""department_name"": ""Jersey Basic"", ""index_name"": ""Ladieswear"", ""index_group_name"": ""Ladieswear"", ""section_name"": ""Womens Everyday Basics"", ""garment_group_name"": ""Jersey Basic"", ""price_in_source"": 1909, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
108775051,Strap top (1) | Vest top | Stripe,Jersey top with narrow shoulder straps.,Jersey Basic > Ladieswear > Garment Upper body,Vest top > Jersey Basic > Womens Everyday Basics,women,White,"['White', 'Dusty Light', 'Off White']",6006,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/010/0108775051.jpg,[],"{""article_id"": 108775051, ""product_type_name"": ""Vest top"", ""product_group_name"": ""Garment Upper body"", ""graphical_appearance_name"": ""Stripe"", ""colour_group_name"": ""Off White"", ""perceived_colour_value_name"": ""Dusty Light"", ""perceived_colour_master_name"": ""White"", ""department_name"": ""Jersey Basic"", ""index_name"": ""Ladieswear"", ""index_group_name"": ""Ladieswear"", ""section_name"": ""Womens Everyday Basics"", ""garment_group_name"": ""Jersey Basic"", ""price_in_source"": 6006, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057022,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | All over pattern,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Pink,"['Pink', 'Dusty Light', 'Light Pink']",5540,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057022.jpg,[],"{""article_id"": 174057022, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""All over pattern"", ""colour_group_name"": ""Light Pink"", ""perceived_colour_value_name"": ""Dusty Light"", ""perceived_colour_master_name"": ""Pink"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 5540, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057026,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | All over pattern,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Grey,"['Grey', 'Dusty Light', 'Light Grey']",5804,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057026.jpg,[],"{""article_id"": 174057026, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""All over pattern"", ""colour_group_name"": ""Light Grey"", ""perceived_colour_value_name"": ""Dusty Light"", ""perceived_colour_master_name"": ""Grey"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 5804, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057027,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | All over pattern,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Blue,"['Blue', 'Dark', 'Dark Blue']",8519,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057027.jpg,[],"{""article_id"": 174057027, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""All over pattern"", ""colour_group_name"": ""Dark Blue"", ""perceived_colour_value_name"": ""Dark"", ""perceived_colour_master_name"": ""Blue"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 8519, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057029,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | Dot,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,White,"['White', 'Light']",7430,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057029.jpg,[],"{""article_id"": 174057029, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""Dot"", ""colour_group_name"": ""White"", ""perceived_colour_value_name"": ""Light"", ""perceived_colour_master_name"": ""White"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 7430, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057030,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | Stripe,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Turquoise,"['Turquoise', 'Dusty Light', 'Light Turquoise']",5093,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057030.jpg,[],"{""article_id"": 174057030, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""Stripe"", ""colour_group_name"": ""Light Turquoise"", ""perceived_colour_value_name"": ""Dusty Light"", ""perceived_colour_master_name"": ""Turquoise"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 5093, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057032,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | All over pattern,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Blue,"['Blue', 'Dark', 'Dark Blue']",3766,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057032.jpg,[],"{""article_id"": 174057032, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""All over pattern"", ""colour_group_name"": ""Dark Blue"", ""perceived_colour_value_name"": ""Dark"", ""perceived_colour_master_name"": ""Blue"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 3766, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057033,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | All over pattern,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Pink,"['Pink', 'Dusty Light', 'Light Pink']",9848,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057033.jpg,[],"{""article_id"": 174057033, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""All over pattern"", ""colour_group_name"": ""Light Pink"", ""perceived_colour_value_name"": ""Dusty Light"", ""perceived_colour_master_name"": ""Pink"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 9848, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
174057035,FLEECE PYJAMA | Pyjama jumpsuit/playsuit | All over pattern,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems.",Baby Nightwear > Baby/Children > Nightwear,"Pyjama jumpsuit/playsuit > Under-, Nightwear > Baby Essentials & Complements",kids,Turquoise,"['Turquoise', 'Dusty Light', 'Light Turquoise']",9585,INR,H&M,https://d3btnq2raaq41w.cloudfront.net/017/0174057035.jpg,[],"{""article_id"": 174057035, ""product_type_name"": ""Pyjama jumpsuit/playsuit"", ""product_group_name"": ""Nightwear"", ""graphical_appearance_name"": ""All over pattern"", ""colour_group_name"": ""Light Turquoise"", ""perceived_colour_value_name"": ""Dusty Light"", ""perceived_colour_master_name"": ""Turquoise"", ""department_name"": ""Baby Nightwear"", ""index_name"": ""Baby Sizes 50-98"", ""index_group_name"": ""Baby/Children"", ""section_name"": ""Baby Essentials & Complements"", ""garment_group_name"": ""Under-, Nightwear"", ""price_in_source"": 9585, ""currency_in_source"": ""INR"", ""brand_in_source"": ""Aisthetic Basics"", ""images_in_source"": false}"
